業種コード1,業種コード2,業種コード3,業種名1,業種名2,業種名3
01,0101,0101001,グルメ,和食,懐石料理
01,0101,0101002,グルメ,和食,会席料理
01,0101,0101003,グルメ,和食,割ぽう
01,0101,0101004,グルメ,和食,料亭
01,0101,0101005,グルメ,和食,小料理
01,0101,0101006,グルメ,和食,精進料理
01,0101,0101007,グルメ,和食,京料理
01,0101,0101008,グルメ,和食,豆腐料理
01,0101,0101009,グルメ,和食,ゆば料理
01,0101,0101010,グルメ,和食,おばんざい
01,0101,0101011,グルメ,和食,日本料理
01,0101,0101012,グルメ,和食,握り寿司
01,0101,0101013,グルメ,和食,回転寿司
01,0101,0101014,グルメ,和食,天ぷら、揚げ物
01,0101,0101015,グルメ,和食,とんかつ
01,0101,0101016,グルメ,和食,フライ
01,0101,0101017,グルメ,和食,そば
01,0101,0101018,グルメ,和食,うどん
01,0101,0101019,グルメ,和食,味噌煮込みうどん
01,0101,0101020,グルメ,和食,沖縄そば
01,0101,0101021,グルメ,和食,すき焼き
01,0101,0101022,グルメ,和食,しゃぶしゃぶ
01,0101,0101023,グルメ,和食,うなぎ
01,0101,0101024,グルメ,和食,どじょう
01,0101,0101025,グルメ,和食,焼き鳥
01,0101,0101026,グルメ,和食,串焼き
01,0101,0101027,グルメ,和食,鳥料理
01,0101,0101028,グルメ,和食,おでん
01,0101,0101029,グルメ,和食,お好み焼き、たこ焼き
01,0101,0101030,グルメ,和食,もんじゃ焼き
01,0101,0101031,グルメ,和食,丼もの、牛丼、親子丼
01,0101,0101032,グルメ,和食,沖縄料理
01,0101,0101033,グルメ,和食,郷土料理
01,0101,0101034,グルメ,和食,海鮮料理
01,0101,0101035,グルメ,和食,ふぐ料理
01,0101,0101036,グルメ,和食,かに料理
01,0101,0101037,グルメ,和食,すっぽん料理
01,0101,0101038,グルメ,和食,あんこう料理
01,0101,0101039,グルメ,和食,川魚料理
01,0101,0101040,グルメ,和食,牡蠣料理
01,0101,0101041,グルメ,和食,豚肉料理
01,0101,0101042,グルメ,和食,牛肉料理
01,0101,0101043,グルメ,和食,馬肉料理
01,0101,0101044,グルメ,和食,炭火焼き
01,0101,0101045,グルメ,和食,鉄板焼き
01,0101,0101046,グルメ,和食,牛タン料理
01,0101,0101047,グルメ,和食,もつ料理
01,0101,0101048,グルメ,和食,釜飯
01,0101,0101049,グルメ,和食,くじら料理
01,0101,0101050,グルメ,和食,炉端焼き
01,0101,0101051,グルメ,和食,野菜料理
01,0101,0101052,グルメ,和食,にんにく料理
01,0101,0101053,グルメ,和食,和食（その他）
01,0102,0102001,グルメ,洋食,ステーキ、ハンバーグ
01,0102,0102002,グルメ,洋食,パスタ、ピザ
01,0102,0102003,グルメ,洋食,ハンバーガー
01,0102,0102004,グルメ,洋食,洋食（その他）
01,0102,0102005,グルメ,洋食,フランス料理（フレンチ）
01,0102,0102006,グルメ,洋食,イタリア料理（イタリアン）
01,0102,0102007,グルメ,洋食,スペイン料理
01,0102,0102008,グルメ,洋食,ポルトガル料理
01,0102,0102009,グルメ,洋食,地中海料理
01,0102,0102010,グルメ,洋食,ドイツ料理
01,0102,0102011,グルメ,洋食,ロシア料理
01,0102,0102012,グルメ,洋食,スイス料理
01,0102,0102013,グルメ,洋食,ベルギー料理
01,0102,0102014,グルメ,洋食,アメリカ料理
01,0102,0102015,グルメ,洋食,カリフォルニア料理
01,0102,0102016,グルメ,洋食,ケイジャン料理
01,0102,0102017,グルメ,洋食,オセアニア料理
01,0102,0102018,グルメ,洋食,パシフィックリム料理
01,0102,0102019,グルメ,洋食,ハワイ料理
01,0102,0102020,グルメ,洋食,西洋各国料理
01,0102,0102021,グルメ,洋食,シーフード、オイスターバー
01,0102,0102022,グルメ,洋食,バーベキュー
01,0103,0103001,グルメ,バイキング,バイキング
01,0104,0104001,グルメ,中華,中華料理
01,0104,0104002,グルメ,中華,北京料理
01,0104,0104003,グルメ,中華,上海料理
01,0104,0104004,グルメ,中華,広東料理
01,0104,0104005,グルメ,中華,四川料理
01,0104,0104006,グルメ,中華,台湾料理
01,0104,0104007,グルメ,中華,香港料理
01,0104,0104008,グルメ,中華,餃子
01,0104,0104009,グルメ,中華,飲茶、点心
01,0105,0105001,グルメ,アジア料理、エスニック,韓国料理、朝鮮料理
01,0105,0105002,グルメ,アジア料理、エスニック,アフリカ料理
